article,gender
Aksumite_currency,Unknown
Al_Jazeera,Unknown
Alamosaurus,Unknown
Alan_Turing,Male
Albania,Unknown
Albatross,Unknown
Albert_Einstein,Male
Alberto_Santos-Dumont,Male
Albertosaurus,Unknown
Albigensian_Crusade,Unknown
Albinism,Unknown
Albrecht_D%C3%BCrer,Male
Albrecht_Rodenbach,Male
Alchemy,Unknown
Alcibiades,Male
Alcohol,Unknown
Aleksandr_Pushkin,Male
Aleksandr_Vasilevsky,Male
Aleksey_Arakcheyev,Male
Alexander_Graham_Bell,Male
Alexander_Hamilton,Male
Alexander_the_Great,Male
Alfred_Hitchcock,Male
Alfred_Nobel,Male
Alfred_the_Great,Male
Algebra,Unknown
Algeria,Unknown
Algerian_Civil_War,Unknown
Algiers,Unknown
Algol,Unknown
Algoma_Central_Railway,Unknown
Algorithm,Unknown
Alice%27s_Adventures_in_Wonderland,Unknown
All_Blacks,Unknown
All_You_Need_Is_Love_%28The_JAMs_song%29,Unknown
All_your_base_are_belong_to_us,Unknown
Allah,Unknown
Allegory_in_the_Middle_Ages,Unknown
Alligator,Unknown
Alliterative_verse,Unknown
Allosaurus,Unknown
Almaty,Unknown
Almond,Unknown
Alpaca,Unknown
Alphabet,Unknown
Alternating_current,Unknown
Alternation_of_generations,Unknown
Alternative_rock,Unknown
Aluminium,Unknown
Aluminium_chloride,Unknown
Alzheimer%27s_disease,Unknown
Amaranth_oil,Unknown
Amarillo%2C_Texas,Unknown
Amazon_Basin,Unknown
Amazon_Rainforest,Unknown
Amazon_River,Unknown
Amazon_parrot,Unknown
Amber,Unknown
Amda_Seyon_I,Male
American_Civil_War,Unknown
American_English,Unknown
American_Revolutionary_War,Unknown
American_Samoa,Unknown
American_football,Unknown
American_popular_music,Unknown
Americium,Unknown
Amish,Unknown
Ammolite,Unknown
Ammonia,Unknown
Ammonite,Unknown
Ammosaurus,Unknown
Amsterdam,Unknown
Amtrak,Unknown
Amur,Unknown
Anaconda,Unknown
Analytical_Marxism,Unknown
Anarchism,Unknown
Anarcho-capitalism,Unknown
Anatomy,Unknown
Ancient_Egypt,Unknown
Ancient_Greece,Unknown
Ancient_Rome,Unknown
Ancient_history,Unknown
Andes,Unknown
Andorra,Unknown
Andr%C3%A9s_Nocioni,Male
Andrew_Carnegie,Male
Andrew_Dickson_White,Male
Andrew_Gonzalez,Male
Andrew_Jackson,Male
Andrew_Johnson,Male
Andrew_Robinson,Male
Andriyivskyy_Descent,Unknown
Andromeda_Galaxy,Unknown
Andy_Warhol,Male
Anemia,Unknown
Angel_shark,Unknown
Angelica,Unknown
Angkor,Unknown
Angkor_Wat,Unknown
Anglican_Church_of_Australia,Unknown
Anglican_Communion,Unknown
Anglicanism,Unknown
Anglo-Saxon_literature,Unknown
Angola,Unknown
Anguilla,Unknown
Animal,Unknown
Animal_law,Unknown
Animal_rights,Unknown
Animation,Unknown
Ankylosaurus,Unknown
Ann_Arbor%2C_Michigan,Unknown
Anna_Karenina,Unknown
Anne_Frank,Female
Anne_of_Great_Britain,Female
Annibale_Bugnini,Male
Anno_Domini,Unknown
Anschluss,Unknown
Ant,Unknown
Antananarivo,Unknown
Antarctic_Treaty_System,Unknown
Antarctic_krill,Unknown
Antarctica,Unknown
Antarctosaurus,Unknown
Anteater,Unknown
Antelope,Unknown
Anthony_van_Dyck,Male
Anthropology,Unknown
Antigua_and_Barbuda,Unknown
Antimony,Unknown
Antlion,Unknown
Antoine_Lavoisier,Male
Anton%C3%ADn_Dvo%C5%99%C3%A1k,Male
Anton_Alexander_von_Werner,Male
Antonio_Vivaldi,Male
Antwerp,Unknown
Apaochi,Male
Apatosaurus,Unknown
Ape,Unknown
Aphid,Unknown
Apollo,Male
Apollo_11,Unknown
Apollo_8,Unknown
Apostolic_Succession,Unknown
Apple,Unknown
Applied_mathematics,Unknown
Apricot,Unknown
Aquarium,Unknown
Arab-Israeli_conflict,Unknown
Arab_League,Unknown
Arabic_language,Unknown
Arable_land,Unknown
Aradia%2C_or_the_Gospel_of_the_Witches,Unknown
Aral_Sea,Unknown
Arcadia_%28play%29,Unknown
Archaeoastronomy,Unknown
Archaeology,Unknown
Archaeopteryx,Unknown
Archbishop_of_Canterbury,Unknown
Archimedes,Male
Architecture,Unknown
Architecture_of_Windows_NT,Unknown
Architecture_of_the_California_missions,Unknown
Arctic,Unknown
Arctic_Circle,Unknown
Arctic_Monkeys,Unknown
Arctic_Ocean,Unknown
Arctic_Tern,Unknown
Arecaceae,Unknown
Argan,Unknown
Argentina,Unknown
Argon,Unknown
Argyle_diamond_mine,Unknown
Ariel_Sharon,Male
Aristarchus_%28crater%29,Unknown
Aristotle,Male
Arithmetic,Unknown
Armadillo,Unknown
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,Unknown
Armenia,Unknown
Armia_Krajowa,Unknown
Arnold_Schwarzenegger,Male
Arp2_3_complex,Unknown
Ars_moriendi,Unknown
Arsenal_F.C.,Unknown
Arsenic,Unknown
Art,Unknown
Arthropod,Unknown
Arthur_Ernest_Percival,Male
Arthur_Sullivan,Male
Arthur_Upfield,Male
Arthur_Wellesley%2C_1st_Duke_of_Wellington,Male
Arts_and_crafts,Unknown
Aruba,Unknown
Arugula,Unknown
Ascariasis,Unknown
Asia,Unknown
Asp_%28reptile%29,Unknown
Asparagus,Unknown
Asperger_syndrome,Unknown
Assyria,Unknown
Astatine,Unknown
Asteroid,Unknown
Asthma,Unknown
Astrology,Unknown
Astronomy,Unknown
Astrophysics_Data_System,Unknown
Asunci%C3%B3n,Unknown
Ateneo_de_Manila_University,Unknown
Athanasius_Kircher,Male
Atheism,Unknown
Athena,Female
Athens,Unknown
Athletics_%28track_and_field%29,Unknown
Atlanta%2C_Georgia,Unknown
Atlantic_Coast_Line_Railroad,Unknown
Atlantic_Ocean,Unknown
Atlantic_herring,Unknown
Atlantic_slave_trade,Unknown
Atlantis,Unknown
Atom,Unknown
Atonality,Unknown
Attack_on_Pearl_Harbor,Unknown
Attalus_I,Male
Attention-deficit_hyperactivity_disorder,Unknown
Attila_the_Hun,Male
Auckland,Unknown
Augusta%2C_Lady_Gregory,Female
Augustan_literature,Unknown
Auguste_Rodin,Male
Augustine_of_Hippo,Male
Augustus,Male
Australia,Unknown
Australian_English,Unknown
Australian_Green_Tree_Frog,Unknown
Australian_Open,Unknown
Australian_Ringneck,Unknown
Australian_constitutional_law,Unknown
Australian_rules_football,Unknown
Austria,Unknown
Autism,Unknown
Auto_racing,Unknown
Autobianchi_Primula,Unknown
Autocracy,Unknown
Automated_teller_machine,Unknown
Automatic_number_plate_recognition,Unknown
Automobile,Unknown
Autorack,Unknown
Autostereogram,Unknown
Autumn,Unknown
Avacha_Volcano,Unknown
Avalanche,Unknown
Avatar__The_Last_Airbender,Unknown
Avocado,Unknown
Avon_Gorge,Unknown
Avro_Lancaster,Unknown
Axe,Unknown
Ayaan_Hirsi_Ali,Female
Aye-aye,Unknown
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,Male
Azerbaijan,Unknown
Azerbaijani_people,Unknown
Aztec,Unknown
BAE_Systems,Unknown
BASIC,Unknown
BBC,Unknown
BBC_television_drama,Unknown
BP,Unknown
BT_Tower,Unknown
B_vitamins,Unknown
Babe_Ruth,Male
Baboon,Unknown
Babur,Male
Baby_Gender_Mentor,Unknown
Babylonia,Unknown
Backgammon,Unknown
Bacteria,Unknown
Baden-Powell_House,Unknown
Badger,Unknown
Badminton,Unknown
Badugi,Unknown
Baghdad,Unknown
Bah%C3%A1%27%C3%AD_Faith,Unknown
Bahamas,Unknown
Bahrain,Unknown
Baker_Island,Unknown
Bald_Eagle,Unknown
Baltic_Sea,Unknown
Baltimore%2C_Maryland,Unknown
Bamako,Unknown
Banana,Unknown
Bandicoot,Unknown
Bangalore,Unknown
Bangkok,Unknown
Bangladesh,Unknown
Banjul,Unknown
Bank_of_China_%28Hong_Kong%29,Unknown
Banknote,Unknown
Banksy,Male
Bantu,Unknown
Barack_Obama,Male
Barbados,Unknown
Barbara_McClintock,Female
Barbary_Lion,Unknown
Barbary_Macaque,Unknown
Barcelona,Unknown
Barium,Unknown
Barley,Unknown
Barn_Owl,Unknown
Barnacle,Unknown
Baroque,Unknown
Barracuda,Male
Baruch_Spinoza,Male
Baseball,Unknown
Basel,Unknown
Basil,Unknown
Basil_Brush,Male
Basilica_of_San_Francesco_d%27Assisi,Unknown
Basilica_of_Santa_Maria_degli_Angeli,Unknown
Basketball,Unknown
Basking_shark,Unknown
Bass_%28fish%29,Unknown
Basset_Hound,Unknown
Bassoon,Unknown
Bat,Unknown
Bat-eared_Fox,Unknown
Bath%2C_Somerset,Unknown
Bath_School_disaster,Unknown
Batholith,Unknown
Batman,Unknown
Battle_of_Alesia,Unknown
Battle_of_Amiens,Unknown
Battle_of_Austerlitz,Unknown
Battle_of_Badr,Unknown
Battle_of_Bicocca,Unknown
Battle_of_Britain,Unknown
Battle_of_Cannae,Unknown
Battle_of_France,Unknown
Battle_of_Gettysburg,Unknown
Battle_of_Grunwald,Unknown
Battle_of_Hastings,Unknown
Battle_of_Jutland,Unknown
Battle_of_Lechaeum,Unknown
Battle_of_Leyte_Gulf,Unknown
Battle_of_Marathon,Unknown
Battle_of_Midway,Unknown
Battle_of_Moscow,Unknown
Battle_of_Normandy,Unknown
Battle_of_Rennell_Island,Unknown
Battle_of_Sitka,Unknown
Battle_of_Smolensk_%281943%29,Unknown
Battle_of_Stalingrad,Unknown
Battle_of_Tours,Unknown
Battle_of_Vaslui,Unknown
Battle_of_Warsaw_%281920%29,Unknown
Battle_of_the_Bulge,Unknown
Battle_of_the_Eastern_Solomons,Unknown
Battle_of_the_Little_Bighorn,Unknown
Battle_of_the_Santa_Cruz_Islands,Unknown
Battle_of_the_Somme_%281916%29,Unknown
Battles_of_the_Mexican-American_War,Unknown
Bay_Area_Rapid_Transit,Unknown
Bay_of_Bengal,Unknown
Beach,Unknown
Bean,Unknown
Bear,Unknown
Beatles_for_Sale,Unknown
Beaver,Unknown
Bedbug,Unknown
Bede,Male
Bee,Unknown
Beeching_Axe,Unknown
Beekeeping,Unknown
Beep_%28SWBLW%29,Unknown
Beer,Unknown
Beet,Unknown
Beetle,Unknown
Behavioral_finance,Unknown
Behistun_Inscription,Unknown
Beijing,Unknown
Beirut,Unknown
Belarus,Unknown
Belfast,Unknown
Belgium,Unknown
Belize,Unknown
Belton_House,Unknown
Ben-Hur_%281959_film%29,Unknown
Ben_Jonson,Male
Ben_Nevis,Unknown
Bench_language,Unknown
Benin,Unknown
Benito_Mussolini,Male
Benjamin_Britten,Male
Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,Unknown
Benjamin_Franklin,Male
Benjamin_Harrison,Male
Benjamin_Mountfort,Male
Benjamin_of_Tudela,Male
Benzene,Unknown
Berber_languages,Unknown
Beriberi,Unknown
Berkelium,Unknown
Berlin,Unknown
Berlin_Wall,Unknown
Bermuda,Unknown
Bernard_Hinault,Male
Bertrand_Russell,Male
Beryllium,Unknown
Betelgeuse_incident,Unknown
Bette_Davis,Female
Bhutan,Unknown
Bible,Unknown
Bicycle,Unknown
Bicycle_Thieves,Unknown
Big_Bang,Unknown
Bill_Clinton,Male
Bill_Gates,Male
Billie_Holiday,Female
Binary_star,Unknown
Binoculars,Unknown
Binomial_nomenclature,Unknown
Biodiesel,Unknown
Biodiversity,Unknown
Biofuel,Unknown
Bioinformatics,Unknown
Biology,Unknown
Bionicle__Mask_of_Light,Unknown
Biosphere,Unknown
Biotechnology,Unknown
Bird,Unknown
Bird_migration,Unknown
Bird_of_prey,Unknown
Birmingham,Unknown
Birth_control,Unknown
Bismuth,Unknown
Bison,Unknown
Bissau,Unknown
Bj%C3%B6rn_Borg,Male
Bj%C3%B8rn%C3%B8ya,Unknown
Black-backed_Jackal,Unknown
Black-footed_Cat,Unknown
Black-winged_Stilt,Unknown
Black_Death,Unknown
Black_Rhinoceros,Unknown
Black_Robin,Unknown
Black_Sea,Unknown
Black_Seminoles,Unknown
Black_Wildebeest,Unknown
Black_hole,Unknown
Black_panther,Unknown
Black_pepper,Unknown
Black_widow_spider,Unknown
Blackbird,Unknown
Blackcap,Unknown
Blackjack,Unknown
Blackpool,Unknown
Blacktip_reef_shark,Unknown
Blade_Runner,Unknown
Blaise_Pascal,Male
Blitzkrieg,Unknown
Blokus,Unknown
Blood_type,Unknown
Blue_Jay,Unknown
Blue_Peter,Unknown
Blue_Tit,Unknown
Blue_Whale,Unknown
Blue_Wildebeest,Unknown
Blue_shark,Unknown
Bluegrass_music,Unknown
Bluetooth,Unknown
Boa,Unknown
Board_game,Unknown
Boat,Unknown
Bob_Dylan,Male
Bob_Marley,Male
Bobcat,Unknown
Body_mass_index,Unknown
Bodyline,Unknown
Boeing_747,Unknown
Bog,Unknown
Bogot%C3%A1,Unknown
Bohemian_Rhapsody,Unknown
Bohor_Reedbuck,Unknown
Bohrium,Unknown
Bolivia,Unknown
Bologna,Unknown
Boltysh_crater,Unknown
Bongo_%28antelope%29,Unknown
Bonobo,Unknown
Bontebok,Unknown
Booby,Unknown
Book,Unknown
Book_of_Common_Prayer,Unknown
Book_of_Kells,Unknown
Boolean_logic,Unknown
Borage,Unknown
Boris_Becker,Male
Boron,Unknown
Bosnia_and_Herzegovina,Unknown
Boston%2C_Massachusetts,Unknown
Boston_RFC,Unknown
Boston_Terrier,Unknown
Boston_and_Lowell_Railroad,Unknown
Botany,Unknown
Botswana,Unknown
Bottlenose_Dolphin,Unknown
Boudica,Female
Boundary_Waters_Canoe_Area_Wilderness,Unknown
Bourbonnais_train_accident,Unknown
Bouvet_Island,Unknown
Box_jellyfish,Unknown
Boy_Scout,Unknown
Boyle_Roche,Male
Brabantian,Unknown
Brabham,Unknown
Brachiosaurus,Unknown
Brahman,Unknown
Brain,Unknown
Bran,Unknown
Brandon_Routh,Male
Bras%C3%ADlia,Unknown
Brass_instrument,Unknown
Bratislava,Unknown
Brazil,Unknown
Bread,Unknown
Breaker_Morant,Unknown
Bretton_Woods_system,Unknown
Brian_Close,Male
Bridge,Unknown
Brighton,Unknown
Brisbane,Unknown
Bristol,Unknown
British_East_India_Company,Unknown
British_Empire,Unknown
British_English,Unknown
British_House_of_Commons,Unknown
British_Indian_Ocean_Territory,Unknown
British_Isles,Unknown
British_Isles_%28terminology%29,Unknown
British_Virgin_Islands,Unknown
British_monarchy,Unknown
Britney_Spears,Female
Broadcasting,Unknown
Bromine,Unknown
Bronze_Age,Unknown
Brothers_Grimm,Unknown
Brown_trout,Unknown
Bruce_Lee,Male
Bruce_Springsteen,Male
Brunei,Unknown
Brush,Unknown
Brussels,Unknown
Brute_force_attack,Unknown
Bryce_Canyon_National_Park,Unknown
Btrieve,Unknown
Bucharest,Unknown
Buckingham_Palace,Unknown
Buckminster_Fuller,Male
Budapest,Unknown
Buddha,Male
Buddhism,Unknown
Buddhist_art,Unknown
Buenos_Aires,Unknown
Buffy_the_Vampire_Slayer,Unknown
Bulgaria,Unknown
Bull_shark,Unknown
Burkina_Faso,Unknown
Burundi,Unknown
Bushbuck,Unknown
Bushpig,Unknown
Business,Unknown
Butter,Unknown
Button,Unknown
Byzantine_Empire,Unknown
C%2B%2B,Unknown
C%C3%A6dmon,Male
C%C3%B4te_d%27Ivoire,Unknown
C._S._Lewis,Male
CF7,Unknown
CPU_cache,Unknown
CS_gas,Unknown
Cactus,Unknown
Cadmium,Unknown
Caesar_cipher,Unknown
Caesium,Unknown
Caesium_fluoride,Unknown
Cai_Lun,Male
Cairo,Unknown
Calcite,Unknown
Calcium,Unknown
Calcium_chloride,Unknown
Calculus,Unknown
Calgary,Unknown
California,Unknown
California_Southern_Railroad,Unknown
Californium,Unknown
Calligraphy,Unknown
Caloris_Basin,Unknown
Calvin_Coolidge,Male
Calvin_and_Hobbes,Unknown
Camarasaurus,Unknown
Cambodia,Unknown
Cambrian,Unknown
Cambrian_explosion,Unknown
Cambridge,Unknown
Camel,Unknown
Cameroon,Unknown
Canada,Unknown
Canada_Goose,Unknown
Canadian_Charter_of_Rights_and_Freedoms,Unknown
Canadian_English,Unknown
Canadian_House_of_Commons,Unknown
Canadian_Pacific_Railway,Unknown
Canadian_Senate,Unknown
Canadian_football,Unknown
Canal,Unknown
Canaletto,Male
Canberra,Unknown
Cancer,Unknown
Cane_Toad,Unknown
Canola,Unknown
Canterbury,Unknown
Canterbury_Cathedral,Unknown
Canute_the_Great,Male
Capacitance,Unknown
Cape_Canaveral,Unknown
Cape_Horn,Unknown
Cape_Lion,Unknown
Cape_Porcupine,Unknown
Cape_Town,Unknown
Cape_Verde,Unknown
Capital,Unknown
Capitalism,Unknown
Capitoline_Triad,Unknown
Captain_Marvel_%28DC_Comics%29,Male
Caracas,Unknown
Caratacus,Male
Caravaggio,Male
Carbon,Unknown
Carbon_dioxide,Unknown
Carboniferous,Unknown
Carcinus_maenas,Unknown
Card_game,Unknown
Cardiff,Unknown
Caribbean_Sea,Unknown
Carl_Friedrich_Gauss,Male
Carl_G._Fisher,Male
Carl_Jung,Male
Carl_Lewis,Male
Carl_Sagan,Male
Carlsbad_Caverns_National_Park,Unknown
Carnivore,Unknown
Caroline_Island,Unknown
Carolingian_Gospel_Book_%28British_Library%2C_MS_Add._11848%29,Unknown
Carolus_Linnaeus,Male
Carrot,Unknown
Casablanca_%28film%29,Unknown
Casimir_effect,Unknown
Caspian_Sea,Unknown
Cassini-Huygens,Unknown
Cassowary,Unknown
Castra,Unknown
Cat,Unknown
Cat%27s_Eye_Nebula,Unknown
Cat_Stevens,Male
Cataract,Unknown
Cataract_surgery,Unknown
Cathedral_of_Magdeburg,Unknown
Catherine_Cranston,Female
Catherine_II_of_Russia,Female
Catholic_social_teaching,Unknown
Cattle,Unknown
Cave,Unknown
Cayman_Islands,Unknown
Celeriac,Unknown
Celery,Unknown
Celine_Dion,Female
Cell_%28biology%29,Unknown
Cello,Unknown
Celtic_F.C.,Unknown
Celtic_Park,Unknown
Celtic_mythology,Unknown
Central_African_Republic,Unknown
Central_processing_unit,Unknown
Ceratopsidae,Unknown
Cereal,Unknown
Cerebellum,Unknown
Ceres_%28dwarf_planet%29,Unknown
Cerium,Unknown
Chad,Unknown
Chadian-Sudanese_conflict,Unknown
Chaffinch,Unknown
Channel_Islands,Unknown
Charlemagne,Male
Charles_Babbage,Male
Charles_Darwin,Male
Charles_Dickens,Male
Charles_Etienne_Brasseur_de_Bourbourg,Male
Charles_II_of_England,Male
Charles_I_of_England,Male
Charles_Sumner,Male
Charles_V%2C_Holy_Roman_Emperor,Unknown
Charlie_Chaplin,Male
Charlotte%27s_Web,Unknown
Chartism,Unknown
Che_Guevara,Male
Cheers,Unknown
Cheese,Unknown
Cheetah,Unknown
Chelsea_F.C.,Unknown
Chemical_element,Unknown
Chemical_synapse,Unknown
Chemistry,Unknown
Chennai,Unknown
Chepstow_Bridge,Unknown
Chernobyl_disaster,Unknown
Chess,Unknown
Chester_A._Arthur,Male
Chestnut,Unknown
Chew_Magna,Unknown
Chew_Stoke,Unknown
Chew_Valley,Unknown
Chew_Valley_Lake,Unknown
Chicago,Unknown
Chicago_Bears,Unknown
Chicago_and_North_Western_Railway,Unknown
Chicken,Unknown
Child,Unknown
Children%27s_Crusade,Unknown
Children%27s_rights_movement,Unknown
Chile,Unknown
Chiltern_Hills,Unknown
Chimpanzee,Unknown
China,Unknown
Chinese_Rites_controversy,Unknown
Chinese_language,Unknown
Chinyingi,Unknown
Chives,Unknown
Chlorine,Unknown
Chocolate,Unknown
Chola_dynasty,Unknown
Cholera,Unknown
Chordate,Unknown
Chris_Evert,Female
Christian_Bale,Male
Christian_monasticism,Unknown
Christianity,Unknown
Christina_Aguilera,Female
Christmas_Island,Unknown
Christopher_Columbus,Male
Christopher_Wren,Male
Chromatic_aberration,Unknown
Chromatophore,Unknown
Chromium,Unknown
Church_of_England,Unknown
Church_of_Ireland,Unknown
Cicely,Unknown
Cider,Unknown
Cinema_of_the_United_States,Unknown
Citizen_Kane,Unknown
Citizenship,Unknown
Citrus,Unknown
City,Unknown
City_status_in_the_United_Kingdom,Unknown
Civil_War_token,Unknown
Civil_rights,Unknown
Civil_society,Unknown
Civilization,Unknown
Civilization_%28computer_game%29,Unknown
Clarinet,Unknown
Classic_female_blues,Unknown
Claude_L%C3%A9vi-Strauss,Male
Claude_Monet,Male
Claudius,Male
Clay,Unknown
Cleopatra_VII,Female
Cleopatra_VII_of_Egypt,Unknown
Cleveland%2C_Ohio,Unknown
Clifton_Suspension_Bridge,Unknown
Climate,Unknown
Climate_change,Unknown
Clock,Unknown
Clone_Wars_%28Star_Wars%29,Unknown
Clothing,Unknown
Cloud,Unknown
Coal,Unknown
Coal_Tit,Unknown
Cobalt,Unknown
Coccinellidae,Unknown
Cochineal,Unknown
Cockatiel,Unknown
Cocoa,Unknown
Coconut,Unknown
Coconut_crab,Unknown
Coconut_oil,Unknown
Cocos_%28Keeling%29_Islands,Unknown
Cod,Unknown
Code_of_Hammurabi,Unknown
Coffee,Unknown
Coin,Unknown
Cold_War,Unknown
Colditz_Castle,Unknown
Colima_%28volcano%29,Unknown
Collapse_of_the_World_Trade_Center,Unknown
Colley_Cibber,Male
Cologne,Unknown
Colombia,Unknown
Colombo,Unknown
Color,Unknown
Color_Graphics_Adapter,Unknown
Color_blindness,Unknown
Colorado_River,Unknown
Colossus_of_Rhodes,Unknown
Columba,Unknown
Columbia_River,Unknown
Columbine_High_School_massacre,Unknown
Columbus%2C_Ohio,Unknown
Comet,Unknown
Comet_Hale-Bopp,Unknown
Comet_Halley,Unknown
Comet_Hyakutake,Unknown
Comet_Shoemaker-Levy_9,Unknown
Comet_White-Ortiz-Bolelli,Unknown
Comics,Unknown
Comma_Johanneum,Unknown
Commodore_64,Unknown
Common_Basilisk,Unknown
Common_Cuckoo,Unknown
Common_Eider,Unknown
Common_Eland,Unknown
Common_Hazel,Unknown
Common_Pheasant,Unknown
Common_Tern,Unknown
Common_agouti,Unknown
Common_cold,Unknown
Common_sage,Unknown
Commonwealth_Games,Unknown
Communication,Unknown
Communism,Unknown
Community,Unknown
Comoros,Unknown
Compact_Disc,Unknown
Company_%28law%29,Unknown
Compsognathus,Unknown
Computational_chemistry,Unknown
Computer,Unknown
Computer_and_video_games,Unknown
Computer_programming,Unknown
Computer_science,Unknown
Conakry,Unknown
Concorde,Unknown
Condoleezza_Rice,Female
Conflict,Unknown
Confucianism,Unknown
Confucius,Male
Congo_River,Unknown
Consolation_of_Philosophy,Unknown
Constantine_I,Male
Constantine_II_of_Scotland,Male
Constitution_of_May_3%2C_1791,Unknown
Constitutional_monarchy,Unknown
Constructivism_%28art%29,Unknown
Consumer_protection,Unknown
Contact_lens,Unknown
Continent,Unknown
Continental_crust,Unknown
Control_car_%28rail%29,Unknown
Convention_on_the_International_Trade_in_Endangered_Species_of_Wild_Flora_and_Fauna,Unknown
Convention_on_the_Rights_of_the_Child,Unknown
Cook_Islands,Unknown
Cookiecutter_shark,Unknown
Cooperative,Unknown
Coot,Unknown
Copenhagen,Unknown
Copenhagen_Fire_of_1728,Unknown
Copper,Unknown
Copper%28I%29_chloride,Unknown
Coriander,Unknown
Corinthian_War,Unknown
Cormorant,Unknown
Corn_oil,Unknown
Cornea,Unknown
Cornell_University,Unknown
Coronation_Street,Unknown
Corporate_finance,Unknown
Corporation,Unknown
Corrosion,Unknown
Corundum,Unknown
Cosmic_inflation,Unknown
